Period,Area,Mission,Category,Indicator,Observation,Notes
2019,E11000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.30280629515579,Obsolete code since 2013 (replaced by E11000007 Tyne and Wear)
2014,E11000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.18601441331742,Obsolete code since 2013 (replaced by E11000007 Tyne and Wear)
2017,E11000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.07259527624303,Obsolete code since 2013 (replaced by E11000007 Tyne and Wear)
2015,E11000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.82142392491851,Obsolete code since 2013 (replaced by E11000007 Tyne and Wear)
2016,E08000020,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.00321017456267,Obsolete code since 2013 (replaced by E08000037 Gateshead)
2019,E08000020,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.07016519767218,Obsolete code since 2013 (replaced by E08000037 Gateshead)
2014,E08000020,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.77593486158298,Obsolete code since 2013 (replaced by E08000037 Gateshead)
2017,E08000020,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.91846787865151,Obsolete code since 2013 (replaced by E08000037 Gateshead)
2015,E08000020,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.5002935879321,Obsolete code since 2013 (replaced by E08000037 Gateshead)
2016,E08000021,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.89708166736256,
2019,E08000021,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,6.65650915450074,
2014,E08000021,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.67648616083096,
2017,E08000021,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.29429526812279,
2015,E08000021,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.32687373456295,
2016,E08000022,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.07596416659514,
2019,E08000022,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.16543494577841,
2014,E08000022,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.89680577833862,
2017,E08000022,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.04636490052215,
2015,E08000022,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.55904609519294,
2016,E08000023,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.89593222272911,
2019,E08000023,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.28578069460591,
2014,E08000023,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.83785599584672,
2017,E08000023,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.61545351701582,
2015,E08000023,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.28799362350424,
2016,E08000024,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.16298010161997,
2019,E08000024,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.58420336947475,
2014,E08000024,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.14910183068083,
2017,E08000024,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.01203377416866,
2015,E08000024,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.79313530579109,
2016,E12000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.3,
2014,E12000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.2,
2019,E12000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.40749160962212,
2017,E12000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.14128110780552,
2015,E12000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.0,
2016,E06000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.66013550700562,
2019,E06000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.01932167544434,
2014,E06000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.57554075260386,
2017,E06000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.87156016447474,
2015,E06000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.51401665690587,
2016,E06000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.27431436994851,
2019,E06000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,6.63676229201725,
2014,E06000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.3882605973902,
2017,E06000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.21408500096125,
2015,E06000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.11042692974537,
2016,E06000049,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.66242371036378,
2019,E06000049,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.77254560281613,
2014,E06000049,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.50840712846022,
2017,E06000049,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.50301526223264,
2015,E06000049,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.35484405634643,
2016,E06000050,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.04664525602382,
2019,E06000050,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.99042045839207,
2014,E06000050,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.26775427241397,
2017,E06000050,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.71644514873124,
2015,E06000050,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.87017384559636,
2016,E06000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.36556121518908,
2019,E06000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.74859029932323,
2014,E06000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.38229014596987,
2017,E06000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.38648355677318,
2015,E06000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.09254291540212,
2016,E06000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.1478549152028,
2019,E06000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.38079625788478,
2014,E06000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.1084610282512,
2017,E06000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.11333889885742,
2015,E06000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.73920614362406,
2016,E10000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.81328458253404,
2019,E10000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.93087397874813,
2014,E10000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.78512913521367,
2017,E10000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.41423967415308,
2015,E10000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.84847613233841,
2016,E07000026,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.95253555559604,
2019,E07000026,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.68075284206673,
2014,E07000026,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.75881701586906,
2017,E07000026,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.37928662083318,
2015,E07000026,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.6625279329609,
2016,E07000027,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.60003284765669,
2019,E07000027,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.24416912042883,
2014,E07000027,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.14262697090051,
2017,E07000027,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.91383209600442,
2015,E07000027,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.12521010145894,
2016,E07000028,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.99338198721279,
2019,E07000028,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.39184090899736,
2014,E07000028,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.89811029624941,
2017,E07000028,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.70903744106303,
2015,E07000028,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.7238678748093,
2016,E07000029,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.3640968165504,
2019,E07000029,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.85498954613071,
2014,E07000029,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.2386053759841,
2017,E07000029,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.57121735363042,
2015,E07000029,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.4743080103953,
2016,E07000030,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,11.5192826397512,
2019,E07000030,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.2769888086392,
2014,E07000030,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,11.1668709755796,
2017,E07000030,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,11.096351570229,
2015,E07000030,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,12.739176448207,
2016,E07000031,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.0944825012311,
2019,E07000031,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.59061136096044,
2014,E07000031,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.1468727888843,
2017,E07000031,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.54620718074874,
2015,E07000031,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.77984746844008,
2016,E11000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.05653394362539,
2019,E11000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.12453146390452,
2014,E11000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.92599282301983,
2017,E11000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.90122948230289,
2015,E11000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.68188360118164,
2016,E08000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.27822630667847,
2019,E08000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.25597176508101,
2014,E08000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.94349153966111,
2017,E08000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.10366665255395,
2015,E08000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.82339380510548,
2016,E08000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.98040953216172,
2019,E08000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.12554592175408,
2014,E08000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.94114803370971,
2017,E08000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.91835172010674,
2015,E08000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.78896744799983,
2016,E08000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.73745284620078,
2019,E08000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,6.72287531913528,
2014,E08000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.63997548668064,
2017,E08000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.4957504410771,
2015,E08000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.40256439848234,
2016,E08000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.71133465936985,
2019,E08000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,6.97955435413818,
2014,E08000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.74922155238913,
2017,E08000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.49054791554052,
2015,E08000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.36719083453555,
2016,E08000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.94183160696642,
2019,E08000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.27671111140586,
2014,E08000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.85644393143914,
2017,E08000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.92333096831488,
2015,E08000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.49900978080721,
2016,E08000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.27274160532601,
2019,E08000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,6.79401342966611,
2014,E08000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.88840386022759,
2017,E08000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.61780556948083,
2015,E08000006,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.67939156562737,
2016,E08000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.45496485795496,
2019,E08000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.51856956460681,
2014,E08000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.55032179673912,
2017,E08000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.49925259193946,
2015,E08000007,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.0156820661303,
2016,E08000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.1898325952291,
2019,E08000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.2936700663894,
2014,E08000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.89664151705868,
2017,E08000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.12590240188221,
2015,E08000008,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.78138309005287,
2016,E08000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.93415151593339,
2019,E08000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.13497474517023,
2014,E08000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.71710064134409,
2017,E08000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.85547787295618,
2015,E08000009,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.62336249614211,
2016,E08000010,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.2309936306986,
2019,E08000010,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.51040444980726,
2014,E08000010,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.1760086078185,
2017,E08000010,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.23716186920796,
2015,E08000010,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.9793350143779,
2016,E10000017,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.36889756904028,
2019,E10000017,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.43376425851405,
2014,E10000017,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.20799195492164,
2017,E10000017,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.04178822044275,
2015,E10000017,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.1951359454758,
2016,E07000117,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.36970388901456,
2019,E07000117,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,6.78994965660069,
2014,E07000117,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.7156796892249,
2017,E07000117,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.17972396292312,
2015,E07000117,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.35055785100319,
2016,E07000118,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.78674759357997,
