Period,Area,Measure,Category,Unit,Value,MAD,Marker
2020,E06000036,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,48.27,2.625045118,
2020,E06000037,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,48.38,2.645097546,
2020,E06000038,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,43.68,1.788311987,
2020,E06000039,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,60.34,4.825343352,
2020,E06000040,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,53.16,3.516466689,
2020,E06000041,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,56.38,4.103455945,
2020,E06000042,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,45.95,2.202121182,
2020,E06000043,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,37.92,0.738293939,
2020,E06000044,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.91,0.554176192,
2020,E06000045,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,40.04,1.124758915,
2020,E06000046,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.86,-0.366412548,
2020,E06000047,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.5,-0.614333476,
2020,E06000049,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,43.56,1.766436611,
2020,E06000050,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,39.14,0.960693595,
2020,E06000051,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.36,-1.004444347,
2020,E06000052,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.83,-0.918765791,
2020,E06000053,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,42.42,1.558620539,
2020,E06000054,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.54,-0.424746884,
2020,E06000055,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.74,-0.388287924,
2020,E06000056,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.02,0.02734422,
2020,E06000057,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.07,-0.875015039,
2020,E06000058,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.13,0.047396648,
2020,E06000059,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.9,-0.359120756,
2020,E06000060,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,37.9,0.734648043,
2020,E06000061,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.84,-1.099237643,
2020,E06000062,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.87,0.0,
2020,E07000008,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.82,0.17318006,
2020,E07000009,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.09,-0.142189944,
2020,E07000010,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.68,-1.128404811,
2020,E07000011,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.21,0.426569832,
2020,E07000012,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.64,0.504956596,
2020,E07000026,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.34,-1.190385043,
2020,E07000027,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,40.79,1.261480015,
2020,E07000028,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.56,-0.421100988,
2020,E07000029,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.96,-1.259657067,
2020,E07000030,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.67,-0.58334336,
2020,E07000031,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.04,-0.880483883,
2020,E07000032,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.24,0.067449076,
2020,E07000033,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,42.03,1.487525567,
2020,E07000034,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.25,-0.659907175,
2020,E07000035,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,25.33,-1.556797591,
2020,E07000036,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.13,-1.228666951,
2020,E07000037,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.15,-1.407315855,
2020,E07000038,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.41,-0.448445208,
2020,E07000039,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,58.74,4.533671672,
2020,E07000040,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.61,-0.047396648,
2020,E07000041,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.25,0.433861624,
2020,E07000042,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.44,-0.989860763,
2020,E07000043,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.09,-0.689074343,
2020,E07000044,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.78,-0.563290932,
2020,E07000045,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.34,-1.008090243,
2020,E07000046,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,24.34,-1.737269443,
2020,E07000047,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.16,-1.405492907,
2020,E07000061,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.37,-0.6380318,
2020,E07000062,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.13,-0.864077351,
2020,E07000063,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.6,-0.596103996,
2020,E07000064,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.94,-1.081008163,
2020,E07000065,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.05,-0.878660935,
2020,E07000066,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,39.77,1.075539319,
2020,E07000067,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,38.1,0.771107003,
2020,E07000068,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,52.3,3.359693161,
2020,E07000069,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,25.1,-1.598725395,
2020,E07000070,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.79,0.350006016,
2020,E07000071,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.68,0.147658788,
2020,E07000072,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,41.74,1.434660075,
2020,E07000073,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.18,0.056511388,
2020,E07000074,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.84,-0.734648043,
2020,E07000075,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.3,-0.650792435,
2020,E07000076,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.4,-0.997152555,
2020,E07000077,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.81,-1.104706487,
2020,E07000078,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.78,-0.198701332,
2020,E07000079,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,47.23,2.435458526,
2020,E07000080,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,44.29,1.899511815,
2020,E07000081,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.96,-0.712772667,
2020,E07000082,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.87,-0.5468844,
2020,E07000083,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.51,0.481258272,
2020,E07000084,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,50.88,3.100834546,
2020,E07000085,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.41,0.098439192,
2020,E07000086,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,41.43,1.378148687,
2020,E07000087,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,37.87,0.729179199,
2020,E07000088,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.02,-0.51954018,
2020,E07000089,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,52.66,3.425319289,
2020,E07000090,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.66,0.508602492,
2020,E07000091,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,40.27,1.166686719,
2020,E07000092,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,73.95,7.306375578,
2020,E07000093,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.6,-0.049219596,
2020,E07000094,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,39.57,1.039080359,
2020,E07000095,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.61,0.317192952,
2020,E07000096,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.99,-0.525009024,
2020,E07000098,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,43.29,1.717217015,
2020,E07000099,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,37.9,0.734648043,
2020,E07000102,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,60.72,4.894615376,
2020,E07000103,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,38.6,0.862254403,
2020,E07000105,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.59,-0.780221743,
2020,E07000106,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.83,-0.918765791,
2020,E07000107,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,38.64,0.869546195,
2020,E07000108,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,41.41,1.374502791,
2020,E07000109,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.03,0.393756768,
2020,E07000110,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.67,-0.03645896,
2020,E07000111,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,46.41,2.28597679,
2020,E07000112,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.22,0.06380318,
2020,E07000113,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.1,0.406517404,
2020,E07000114,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.84,-1.099237643,
2020,E07000115,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,44.37,1.914095399,
2020,E07000116,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,39.36,1.000798451,
2020,E07000117,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.02,-0.33724538,
2020,E07000118,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.06,-0.694543187,
2020,E07000119,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,39.13,0.958870647,
2020,E07000120,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.79,-1.108352383,
2020,E07000121,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.3,0.078386764,
2020,E07000122,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.8,-0.741939835,
2020,E07000123,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.37,-0.6380318,
2020,E07000124,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.1,0.224222604,
2020,E07000125,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.25,-1.206791575,
2020,E07000126,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,40.64,1.234135795,
2020,E07000127,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.99,-0.525009024,
2020,E07000128,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.75,-0.021875376,
2020,E07000129,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,38.39,0.823972495,
2020,E07000130,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.49,-0.069272024,
2020,E07000131,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.08,-0.508602492,
2020,E07000132,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.01,0.390110872,
2020,E07000133,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,37.13,0.594281048,
2020,E07000134,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.86,-0.001822948,
2020,E07000135,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.88,-1.274240651,
2020,E07000136,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.13,-1.046372151,
2020,E07000137,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.06,-1.241427587,
2020,E07000138,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.17,-0.30990116,
2020,E07000139,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.96,0.198701332,
2020,E07000140,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.28,-0.289848732,
2020,E07000141,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.09,-0.871369143,
2020,E07000142,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.55,-0.240629136,
2020,E07000143,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.95,-0.532300816,
2020,E07000144,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,47.39,2.464625694,
2020,E07000145,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.96,-0.530477868,
2020,E07000146,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.46,-0.257035668,
2020,E07000147,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,25.64,-1.500286203,
2020,E07000148,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.59,-0.597926944,
2020,E07000149,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.99,-0.342714224,
2020,E07000163,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.02,-0.884129779,
2020,E07000164,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.27,0.25521272,
2020,E07000165,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.95,0.014583584,
2020,E07000166,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.69,-1.308876663,
2020,E07000167,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.88,0.001822948,
2020,E07000168,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.01,-1.068247527,
2020,E07000169,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.48,0.475789428,
2020,E07000170,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.72,-0.20963902,
2020,E07000171,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.43,-1.356273311,
2020,E07000172,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,37.15,0.597926944,
2020,E07000173,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.62,-0.2278685,
2020,E07000174,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.59,-1.327106143,
2020,E07000175,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.86,-0.913296947,
2020,E07000176,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,42.92,1.649767939,
2020,E07000177,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,36.46,0.472143532,
2020,E07000178,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.01,0.025521272,
2020,E07000179,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,39.68,1.059132787,
2020,E07000180,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,41.21,1.338043831,
2020,E07000181,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.9,0.005468844,
2020,E07000187,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.02,-1.066424579,
2020,E07000188,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.92,-0.53776966,
2020,E07000189,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.26,-0.111199828,
2020,E07000192,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.5,-0.614333476,
