Period,Area,Indicator,Category,Measure Type,Unit,Value,MAD,Marker
2020,E07000045,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.34,-1.008090243,
2020,E07000046,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,24.34,-1.737269443,
2020,E07000047,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.16,-1.405492907,
2020,E07000061,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.37,-0.6380318,
2020,E07000062,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.13,-0.864077351,
2020,E07000063,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.6,-0.596103996,
2020,E07000064,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.94,-1.081008163,
2020,E07000065,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.05,-0.878660935,
2020,E07000066,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,39.77,1.075539319,
2020,E07000067,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,38.1,0.771107003,
2020,E07000068,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,52.3,3.359693161,
2020,E07000069,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,25.1,-1.598725395,
2020,E07000070,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.79,0.350006016,
2020,E07000071,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.68,0.147658788,
2020,E07000072,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,41.74,1.434660075,
2020,E07000073,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.18,0.056511388,
2020,E07000074,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.84,-0.734648043,
2020,E07000075,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.3,-0.650792435,
2020,E07000076,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.4,-0.997152555,
2020,E07000077,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.81,-1.104706487,
2020,E07000078,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.78,-0.198701332,
2020,E07000079,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,47.23,2.435458526,
2020,E07000080,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,44.29,1.899511815,
2020,E07000081,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.96,-0.712772667,
2020,E07000082,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.87,-0.5468844,
2020,E07000083,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.51,0.481258272,
2020,E07000084,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,50.88,3.100834546,
2020,E07000085,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.41,0.098439192,
2020,E07000086,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,41.43,1.378148687,
2020,E07000087,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,37.87,0.729179199,
2020,E07000088,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.02,-0.51954018,
2020,E07000089,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,52.66,3.425319289,
2020,E07000090,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.66,0.508602492,
2020,E07000091,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,40.27,1.166686719,
2020,E07000092,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,73.95,7.306375578,
2020,E07000093,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.6,-0.049219596,
2020,E07000094,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,39.57,1.039080359,
2020,E07000095,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.61,0.317192952,
2020,E07000096,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.99,-0.525009024,
2020,E07000098,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,43.29,1.717217015,
2020,E07000099,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,37.9,0.734648043,
2020,E07000102,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,60.72,4.894615376,
2020,E07000103,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,38.6,0.862254403,
2020,E07000105,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.59,-0.780221743,
2020,E07000106,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.83,-0.918765791,
2020,E07000107,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,38.64,0.869546195,
2020,E07000108,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,41.41,1.374502791,
2020,E07000109,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.03,0.393756768,
2020,E07000110,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.67,-0.03645896,
2020,E07000111,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,46.41,2.28597679,
2020,E07000112,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.22,0.06380318,
2020,E07000113,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.1,0.406517404,
2020,E07000114,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.84,-1.099237643,
2020,E07000115,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,44.37,1.914095399,
2020,E07000116,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,39.36,1.000798451,
2020,E07000117,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.02,-0.33724538,
2020,E07000118,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.06,-0.694543187,
2020,E07000119,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,39.13,0.958870647,
2020,E07000120,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.79,-1.108352383,
2020,E07000121,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.3,0.078386764,
2020,E07000122,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.8,-0.741939835,
2020,E07000123,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.37,-0.6380318,
2020,E07000124,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.1,0.224222604,
2020,E07000125,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.25,-1.206791575,
2020,E07000126,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,40.64,1.234135795,
2020,E07000127,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.99,-0.525009024,
2020,E07000128,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.75,-0.021875376,
2020,E07000129,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,38.39,0.823972495,
2020,E07000130,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.49,-0.069272024,
2020,E07000131,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.08,-0.508602492,
2020,E07000132,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.01,0.390110872,
2020,E07000133,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,37.13,0.594281048,
2020,E07000134,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.86,-0.001822948,
2020,E07000135,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.88,-1.274240651,
2020,E07000136,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.13,-1.046372151,
2020,E07000137,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.06,-1.241427587,
2020,E07000138,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.17,-0.30990116,
2020,E07000139,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.96,0.198701332,
2020,E07000140,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.28,-0.289848732,
2020,E07000141,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.09,-0.871369143,
2020,E07000142,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.55,-0.240629136,
2020,E07000143,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.95,-0.532300816,
2020,E07000144,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,47.39,2.464625694,
2020,E07000145,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.96,-0.530477868,
2020,E07000146,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.46,-0.257035668,
2020,E07000147,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,25.64,-1.500286203,
2020,E07000148,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.59,-0.597926944,
2020,E07000149,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.99,-0.342714224,
2020,E07000163,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.02,-0.884129779,
2020,E07000164,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.27,0.25521272,
2020,E07000165,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.95,0.014583584,
2020,E07000166,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.69,-1.308876663,
2020,E07000167,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.88,0.001822948,
2020,E07000168,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.01,-1.068247527,
2020,E07000169,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.48,0.475789428,
2020,E07000170,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.72,-0.20963902,
2020,E07000171,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.43,-1.356273311,
2020,E07000172,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,37.15,0.597926944,
2020,E07000173,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.62,-0.2278685,
2020,E07000174,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.59,-1.327106143,
2020,E07000175,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.86,-0.913296947,
2020,E07000176,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,42.92,1.649767939,
2020,E07000177,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.46,0.472143532,
2020,E07000178,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.01,0.025521272,
2020,E07000179,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,39.68,1.059132787,
2020,E07000180,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,41.21,1.338043831,
2020,E07000181,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.9,0.005468844,
2020,E07000187,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.02,-1.066424579,
2020,E07000188,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.92,-0.53776966,
2020,E07000189,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.26,-0.111199828,
2020,E07000192,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.5,-0.614333476,
2020,E07000193,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.83,-0.007291792,
2020,E07000194,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.79,-0.743762783,
2020,E07000195,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.56,-0.785690587,
2020,E07000196,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.33,-0.280733992,
2020,E07000197,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.71,-0.393756768,
2020,E07000198,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.29,-1.199499783,
2020,E07000199,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.87,-0.3645896,
2020,E07000200,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.6,0.133075204,
2020,E07000202,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,38.23,0.794805327,
2020,E07000203,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.77,-0.38281908,
2020,E07000207,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,68.77,6.362088515,
2020,E07000208,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.5,0.114845724,
2020,E07000209,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,39.39,1.006267295,
2020,E07000210,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,52.43,3.383391485,
2020,E07000211,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,50.89,3.102657494,
