Label,Notation,Parent Notation,Sort Priority,Description
How frequent adults engaged with the art sector in person in the last 12 months,how-frequent-adults-engaged-with-the-art-sector-in-person-in-the-last-12-months,,63,
How frequent adults engaged with the art sector online in the last 12 months,how-frequent-adults-engaged-with-the-art-sector-online-in-the-last-12-months,,64,
How many nights away,how-many-nights-away,,65,
How many of these events were professional sports where the participants were being paid?,how-many-of-these-events-were-professional-sports-where-the-participants-were-being-paid,,66,
How much extra would you pay per month for your mobile subscription or data plan for a 5G data plan,how-much-extra-would-you-pay-per-month-for-your-mobile-subscription-or-data-plan-for-a-5g-data-plan,,67,
How much extra you would be willing to pay per month for 1Gbps (1000Mbps) speeds over what you currently pay,how-much-extra-you-would-be-willing-to-pay-per-month-for-1gbps-1000mbps-speeds-over-what-you-currently-pay,,68,
How much extra you would be willing to pay per month to double your broadband speed,how-much-extra-you-would-be-willing-to-pay-per-month-to-double-your-broadband-speed,,69,
How much you know about 5G mobile technology,how-much-you-know-about-5g-mobile-technology,,70,
How often do you check whether the content is true or false,how-often-do-you-check-whether-the-content-is-true-or-false,,71,
How often do you consider the likely impact on other users of sharing the content,how-often-do-you-consider-the-likely-impact-on-other-users-of-sharing-the-content,,72,
How often do you consider the source and the motivations behind it,how-often-do-you-consider-the-source-and-the-motivations-behind-it,,73,
How often do you consider whether images have been retouched or altered,how-often-do-you-consider-whether-images-have-been-retouched-or-altered,,74,
How often do you examine whether the headline accurately reflects the content,how-often-do-you-examine-whether-the-headline-accurately-reflects-the-content,,75,
How often do you look out for spelling or grammatical errors in the text,how-often-do-you-look-out-for-spelling-or-grammatical-errors-in-the-text,,76,
How often do you read the entire article (or watch the full video) before sharing,how-often-do-you-read-the-entire-article-or-watch-the-full-video-before-sharing,,77,
How often do you share content that you see online? ,how-often-do-you-share-content-that-you-see-online,,78,
How often have placed a bet during any sporting event you attended,how-often-have-placed-a-bet-during-any-sporting-event-you-attended,,79,
How often have placed a bet during any sporting event you watched live on TV,how-often-have-placed-a-bet-during-any-sporting-event-you-watched-live-on-tv,,80,
How often have you engaged with heritage sites digitally in the last 12 months?,how-often-have-you-engaged-with-heritage-sites-digitally-in-the-last-12-months,,81,
How often have you engaged with museums in the last 12 months?,how-often-have-you-engaged-with-museums-in-the-last-12-months,,82,
How often have you used library services online in the last 12 months,how-often-have-you-used-library-services-online-in-the-last-12-months,,83,
How often have you visited a heritage site in the last 12 months,how-often-have-you-visited-a-heritage-site-in-the-last-12-months,,84,
How often have you visited a public or mobile library in the last 12 months,how-often-have-you-visited-a-public-or-mobile-library-in-the-last-12-months,,85,
How satisifed adults were with the service,how-satisifed-adults-were-with-the-service,,86,
How satisifed adults were with the service online,how-satisifed-adults-were-with-the-service-online,,87,
How strongly do you feel you belong to the United Kingdom?,how-strongly-do-you-feel-you-belong-to-the-united-kingdom,,88,
I am comfortable with data being used when it is easy for me to understand how and why it is being used,i-am-comfortable-with-data-being-used-when-it-is-easy-for-me-to-understand-how-and-why-it-is-being-used,,89,
"I would share data about my medical history or allergies, if it helped develop new medicines or treatments",i-would-share-data-about-my-medical-history-or-allergies-if-it-helped-develop-new-medicines-or-treatments,,90,
"I would share data about my online activity, like websites I’ve visited, if it were used to monitor crime and protect me from harm",i-would-share-data-about-my-online-activity-like-websites-i-ve-visited-if-it-were-used-to-monitor-crime-and-protect-me-from-harm,,91,
"I would share data about my spending habits if it would allow me to gain access to services that could save me money, such as better savings accounts",i-would-share-data-about-my-spending-habits-if-it-would-allow-me-to-gain-access-to-services-that-could-save-me-money-such-as-better-savings-accounts,,92,
ITL2 Region,itl2-region,,93,
Important for you to continue to develop digital or online skills in helping you further your career or job prospects,important-for-you-to-continue-to-develop-digital-or-online-skills-in-helping-you-further-your-career-or-job-prospects,,94,
Important for you to continue to develop digital or online skills in your current career or job,important-for-you-to-continue-to-develop-digital-or-online-skills-in-your-current-career-or-job,,95,
Important for you to continue to develop digital or online skills to help with your day-to-day activities,important-for-you-to-continue-to-develop-digital-or-online-skills-to-help-with-your-day-to-day-activities,,96,
In the last 12 months done for the first time,in-the-last-12-months-done-for-the-first-time,,97,
Index of multiple deprivation,index-of-multiple-deprivation,,98,
Intention to visit in the next 12 months,intention-to-visit-in-the-next-12-months,,99,
Interest in STEAM,interest-in-steam,,100,
Interested in participating in Birmingham Commonwealth Games 2022,interested-in-participating-in-birmingham-commonwealth-games-2022,,101,
Interested in participating in Coventry City of Culture,interested-in-participating-in-coventry-city-of-culture,,102,
Interested in participating in Her Majesty the Queen’s Platinum Jubilee,interested-in-participating-in-her-majesty-the-queen-s-platinum-jubilee,,103,
Interested in participating in UNBOXED: Creativity in the UK,interested-in-participating-in-unboxed-creativity-in-the-uk,,104,
Length of time spent at a heritage site or place of historic interest in England,length-of-time-spent-at-a-heritage-site-or-place-of-historic-interest-in-england,,105,
Length of time spent at the museum or gallery,length-of-time-spent-at-the-museum-or-gallery,,106,
Liklihood of getting 5G,liklihood-of-getting-5g,,107,
Listened to music at least once,listened-to-music-at-least-once,,108,
Living with someone in this household as a couple,living-with-someone-in-this-household-as-a-couple,,109,
Long-standing illness or disability,long-standing-illness-or-disability,,110,
Main role of the Monarchy in the UK,main-role-of-the-monarchy-in-the-uk,,111,
Major events have you heard of,major-events-have-you-heard-of,,112,
Measures to stay safe and secure online,measures-to-stay-safe-and-secure-online,,113,
Measures to stay safe and secure while using technology,measures-to-stay-safe-and-secure-while-using-technology,,114,
NS-SEC,ns-sec,,115,
Number of arts activities participated in or attended in last 12 months ,number-of-arts-activities-participated-in-or-attended-in-last-12-months,,116,
"On average, for how long do you keep a smartphone before replacing it?",on-average-for-how-long-do-you-keep-a-smartphone-before-replacing-it,,117,
Paid a fee,paid-a-fee,,118,
Paid to play video games online,paid-to-play-video-games-online,,119,
Part of a creative activity or consumed content in the last 12 months,part-of-a-creative-activity-or-consumed-content-in-the-last-12-months,,120,
Participated in an arts activity in the last 12 months,participated-in-an-arts-activity-in-the-last-12-months,,121,
Place stayed at,place-stayed-at,,122,
Placed a bet during any sporting event you attended?,placed-a-bet-during-any-sporting-event-you-attended,,123,
Placed a bet during any sporting event you were watching live on TV,placed-a-bet-during-any-sporting-event-you-were-watching-live-on-tv,,124,
Plan to take part in any activity or event connected with any of these subjects or sectors in your free time,plan-to-take-part-in-any-activity-or-event-connected-with-any-of-these-subjects-or-sectors-in-your-free-time,,125,
Prefer to use hard copy documents for identification,prefer-to-use-hard-copy-documents-for-identification,,126,
Prefer to use online or digital tools for identification,prefer-to-use-online-or-digital-tools-for-identification,,127,
Reasons for not considering the security standards of the internet provider when choosing a new provider,reasons-for-not-considering-the-security-standards-of-the-internet-provider-when-choosing-a-new-provider,,128,
Reasons for visiting,reasons-for-visiting,,129,
Received help when you visited a public or mobile library in the last 12 months,received-help-when-you-visited-a-public-or-mobile-library-in-the-last-12-months,,130,
Region,region,,131,
Religion,religion,,132,
Taken a holiday in England in the last 12 months,taken-a-holiday-in-england-in-the-last-12-months,,133,
Taken part in any digital or online skills training,taken-part-in-any-digital-or-online-skills-training,,134,
Tenure,tenure,,135,
Type of Heritage visited,type-of-heritage-visited,,136,
Typically do with your smart devices when you no longer need them,typically-do-with-your-smart-devices-when-you-no-longer-need-them,,137,
Urban/Rural classification,urban/rural-classification,,138,
Use the internet,use-the-internet,,139,
Used a metal detector to search for historic artefacts in the last 12 months,used-a-metal-detector-to-search-for-historic-artefacts-in-the-last-12-months,,140,
Used a public library service at least once in the last 12 months,used-a-public-library-service-at-least-once-in-the-last-12-months,,141,
Used heritage services digitally or online in the last 12 months,used-heritage-services-digitally-or-online-in-the-last-12-months,,142,
Used public library services digitally or online in the last 12 months,used-public-library-services-digitally-or-online-in-the-last-12-months,,143,
Verified your own identity online,verified-your-own-identity-online,,144,
Visited a heritage site in person at least once in the last 12 months,visited-a-heritage-site-in-person-at-least-once-in-the-last-12-months,,145,
Visited a museum or gallery in person at least once,visited-a-museum-or-gallery-in-person-at-least-once,,146,
"Visited a museums, galleries, heritage or cultural sites or events while you were away",visited-a-museums-galleries-heritage-or-cultural-sites-or-events-while-you-were-away,,147,
Visited a public library building or mobile library in person at least once,visited-a-public-library-building-or-mobile-library-in-person-at-least-once,,148,
Visited in the last 12 months,visited-in-the-last-12-months,,149,
Watched TV on demand at least once,watched-tv-on-demand-at-least-once,,150,
Watched any live sporting events in person,watched-any-live-sporting-events-in-person,,151,
Watched live sports in person in the last 6 months,watched-live-sports-in-person-in-the-last-6-months,,152,
Watched online in the last 12 months,watched-online-in-the-last-12-months,,153,
Ways taken part in metal detecting in the last 12 months,ways-taken-part-in-metal-detecting-in-the-last-12-months,,154,
What live sports have you watched in the last 6 months?,what-live-sports-have-you-watched-in-the-last-6-months,,155,
What live sports have you watched on TV?,what-live-sports-have-you-watched-on-tv,,156,
Where you get smart devices from,where-you-get-smart-devices-from,,157,
Why have you shared content online?,why-have-you-shared-content-online,,158,
