Label,Notation,Parent Notation,Sort Priority
Attending an digital or online event note 5,attending-an-digital-or-online-event-note-5,,164
Following coverage on tv or radio includes watching the event and or news about the event note 5,following-coverage-on-tv-or-radio-includes-watching-the-event-and-or-news-about-the-event-note-5,,165
Following on social media note 5,following-on-social-media-note-5,,166
Taking part in a voluntary capacity note 5,taking-part-in-a-voluntary-capacity-note-5,,167
Taking part in a professional capacity note 5,taking-part-in-a-professional-capacity-note-5,,168
Taking part in some other way note 5,taking-part-in-some-other-way-note-5,,169
Don t know note 5,don-t-know-note-5,,170
I am not interested in participating in this event note 5,i-am-not-interested-in-participating-in-this-event-note-5,,171
Very strongly,very-strongly,,172
Fairly strongly,fairly-strongly,,173
Neither strongly or not strongly,neither-strongly-or-not-strongly,,174
Not very strongly,not-very-strongly,,175
Not at all strongly,not-at-all-strongly,,176
To undertake a constitutional role as head of state such as opening each new session of parliament,to-undertake-a-constitutional-role-as-head-of-state-such-as-opening-each-new-session-of-parliament,,177
To support and encourage public service and charitable sectors,to-support-and-encourage-public-service-and-charitable-sectors,,178
To recognise and support the armed forces,to-recognise-and-support-the-armed-forces,,179
To be the supreme governor of the church of england,to-be-the-supreme-governor-of-the-church-of-england,,180
To provide a sense of continuity and act as a focus for national identity unity and pride,to-provide-a-sense-of-continuity-and-act-as-a-focus-for-national-identity-unity-and-pride,,181
To promote the uk abroad,to-promote-the-uk-abroad,,182
To recognise exceptional achievement by issuing honours such as mbes obes,to-recognise-exceptional-achievement-by-issuing-honours-such-as-mbes-obes,,183
Other,other,,184
General interest in the subject of the museum or collection,general-interest-in-the-subject-of-the-museum-or-collection,,185
It was recommended for example by a friend or guide book,it-was-recommended-for-example-by-a-friend-or-guide-book,,186
Because there were amenities or free facilities for example toilets communal space restaurants cafes shops,because-there-were-amenities-or-free-facilities-for-example-toilets-communal-space-restaurants-cafes-shops,,187
Because you were told by a healthcare professional for example gp or carer that it may help your health or result in improved outcomes,because-you-were-told-by-a-healthcare-professional-for-example-gp-or-carer-that-it-may-help-your-health-or-result-in-improved-outcomes,,188
I did not pay a one off fee as i pay a subscription,i-did-not-pay-a-one-off-fee-as-i-pay-a-subscription,,189
Theatrical or dance performances,theatrical-or-dance-performances,,190
Music performances,music-performances,,191
Art displays or exhibitions excluding museums,art-displays-or-exhibitions-excluding-museums,,192
A museum or gallery,a-museum-or-gallery,,193
Other art events or festivals,other-art-events-or-festivals,,194
A historic place or building,a-historic-place-or-building,,195
A library,a-library,,196
Read an e book or e magazine for example on a kindle,read-an-e-book-or-e-magazine-for-example-on-a-kindle,,197
Joined video calls with family friends for example microsoft teams zoom facetime,joined-video-calls-with-family-friends-for-example-microsoft-teams-zoom-facetime,,198
Watched tv at the time it was broadcast,watched-tv-at-the-time-it-was-broadcast,,199
Watched tv shows or films on demand for regular tv channels for example bbc iplayer itv hub,watched-tv-shows-or-films-on-demand-for-regular-tv-channels-for-example-bbc-iplayer-itv-hub,,200
Watched tv shows or films using a streaming service for example netflix or amazon prime,watched-tv-shows-or-films-using-a-streaming-service-for-example-netflix-or-amazon-prime,,201
Listened to live radio online through a computer laptop tablet or phone,listened-to-live-radio-online-through-a-computer-laptop-tablet-or-phone,,202
Listened to streamed music for example through itunes spotify,listened-to-streamed-music-for-example-through-itunes-spotify,,203
Listened to downloaded music,listened-to-downloaded-music,,204
Listened to an audiobook,listened-to-an-audiobook,,205
Listened to a podcast,listened-to-a-podcast,,206
Live arts event including theatre visual arts or literature,live-arts-event-including-theatre-visual-arts-or-literature,,207
Pre recorded arts event including theatre visual arts or literature,pre-recorded-arts-event-including-theatre-visual-arts-or-literature,,208
Live music or dance event watched as it was happening,live-music-or-dance-event-watched-as-it-was-happening,,209
Pre recorded music or dance event,pre-recorded-music-or-dance-event,,210
Science,science,,211
Technology,technology,,212
Engineering,engineering,,213
Arts,arts,,214
Maths,maths,,215
None of the above,none-of-the-above,,216
Yes science,yes-science,,217
Yes technology,yes-technology,,218
Yes engineering,yes-engineering,,219
Yes arts,yes-arts,,220
Yes maths,yes-maths,,221
No activities,no-activities,,222
1 activity,1-activity,,223
2 activities,2-activities,,224
3 activities,3-activities,,225
An exhibition of art photography or sculptures,an-exhibition-of-art-photography-or-sculptures,,226
A play drama musical pantomime ballet opera,a-play-drama-musical-pantomime-ballet-opera,,227
An event connected with books reading or writing,an-event-connected-with-books-reading-or-writing,,228
A cinema screening of a film or movie,a-cinema-screening-of-a-film-or-movie,,229
A craft exhibition not a crafts market crafts include for example textiles woodworking,a-craft-exhibition-not-a-crafts-market-crafts-include-for-example-textiles-woodworking,,230
A live music event,a-live-music-event,,231
A festival and or carnival music food culture,a-festival-and-or-carnival-music-food-culture,,232
A street art event,a-street-art-event,,233
A live dance event,a-live-dance-event,,234
A fashion show,a-fashion-show,,235
A comedy event,a-comedy-event,,236
Some other cultural event in england,some-other-cultural-event-in-england,,237
Written stories plays or poetry,written-stories-plays-or-poetry,,238
Read books or magazines,read-books-or-magazines,,239
Written or performed music,written-or-performed-music,,240
Painting drawing printmaking calligraphy,painting-drawing-printmaking-calligraphy,,241
Crafts textile ceramic sculpting carving woodwork,crafts-textile-ceramic-sculpting-carving-woodwork,,242
Choreographed or performed a drama or dance routine,choreographed-or-performed-a-drama-or-dance-routine,,243
Designed or programmed video games including on a smartphone or tablet,designed-or-programmed-video-games-including-on-a-smartphone-or-tablet,,244
Played video games including on a smartphone or tablet,played-video-games-including-on-a-smartphone-or-tablet,,245
Made films or videos as a hobby including original animations,made-films-or-videos-as-a-hobby-including-original-animations,,246
Photography as a hobby,photography-as-a-hobby,,247
Other arts crafts or creative activities at home,other-arts-crafts-or-creative-activities-at-home,,248
Created content,created-content,,249
Consumed content,consumed-content,,250
City or large town,city-or-large-town,,251
Countryside or village,countryside-or-village,,252
Traditional coastal or seaside town,traditional-coastal-or-seaside-town,,253
Rural coastline or coastal village,rural-coastline-or-coastal-village,,254
Mountains or hills,mountains-or-hills,,255
Somewhere else,somewhere-else,,256
1 2 nights,1-2-nights,,257
2021 06 03,2021-06-03,,258
2021 10 07,2021-10-07,,259
More than 10,more-than-10,,260
To visit museums,to-visit-museums,,261
To attend art exhibitions,to-attend-art-exhibitions,,262
To visit heritage sites,to-visit-heritage-sites,,263
To attend a live performance,to-attend-a-live-performance,,264
To participate in dance music or other creative arts activities,to-participate-in-dance-music-or-other-creative-arts-activities,,265
I have heard of it but am not sure what it is,i-have-heard-of-it-but-am-not-sure-what-it-is,,266
I understand what it is but am not interested in getting it in the near future,i-understand-what-it-is-but-am-not-interested-in-getting-it-in-the-near-future,,267
I understand what it is and am interested in getting it in the near future,i-understand-what-it-is-and-am-interested-in-getting-it-in-the-near-future,,268
I would get 5g if it were free,i-would-get-5g-if-it-were-free,,269
I would pay more for 5g if i really thought it would benefit me,i-would-pay-more-for-5g-if-i-really-thought-it-would-benefit-me,,270
I am happy with my current mobile internet speed so i would not be willing to pay more for 5g,i-am-happy-with-my-current-mobile-internet-speed-so-i-would-not-be-willing-to-pay-more-for-5g,,271
I would never get 5g regardless of what it cost,i-would-never-get-5g-regardless-of-what-it-cost,,272
I would not be willing to pay any more for a 5g data plan,i-would-not-be-willing-to-pay-any-more-for-a-5g-data-plan,,273
I do not currently have a mobile subscription or data plan,i-do-not-currently-have-a-mobile-subscription-or-data-plan,,274
Smartphone,smartphone,,275
Laptop computer,laptop-computer,,276
Tablet,tablet,,277
Desktop pc,desktop-pc,,278
Games console such as an xbox or playstation,games-console-such-as-an-xbox-or-playstation,,279
Smart tv,smart-tv,,280
A wi fi router or internet hub a router is a device that communicates between the internet and the devices in your home that connect to the internet,a-wi-fi-router-or-internet-hub-a-router-is-a-device-that-communicates-between-the-internet-and-the-devices-in-your-home-that-connect-to-the-internet,,281
Smartwatch such as apple watch samsung galaxy gear,smartwatch-such-as-apple-watch-samsung-galaxy-gear,,282
Fitness band or smart wristband such as fitbit jawbone up,fitness-band-or-smart-wristband-such-as-fitbit-jawbone-up,,283
Voice activated personal assistant or smart speaker device such as amazon echo alexa google home,voice-activated-personal-assistant-or-smart-speaker-device-such-as-amazon-echo-alexa-google-home,,284
Smart home security such as internet connected or smartphone controlled security smart door lock,smart-home-security-such-as-internet-connected-or-smartphone-controlled-security-smart-door-lock,,285
Smart energy device smart meter bulb or plug or thermostat,smart-energy-device-smart-meter-bulb-or-plug-or-thermostat,,286
Smart kitchen appliance such as a smart fridge,smart-kitchen-appliance-such-as-a-smart-fridge,,287
Smart toy or baby monitor for children,smart-toy-or-baby-monitor-for-children,,288
Some other smart device for the home,some-other-smart-device-for-the-home,,289
Smartphonel,smartphonel,,290
Laptop computerl,laptop-computerl,,291
Tabletl,tabletl,,292
Desktop pcl,desktop-pcl,,293
Games console such as an xbox or playstation l,games-console-such-as-an-xbox-or-playstation-l,,294
Smart tvl,smart-tvl,,295
12 months or less,12-months-or-less,,296
More than 12 months but less than 2 years,more-than-12-months-but-less-than-2-years,,297
At least 2 years but less than 3 years,at-least-2-years-but-less-than-3-years,,298
At least 3 years but less than 4 years,at-least-3-years-but-less-than-4-years,,299
At least 4 years but less than 5 years,at-least-4-years-but-less-than-5-years,,300
5 years or more,5-years-or-more,,301
I have never replaced my smartphone,i-have-never-replaced-my-smartphone,,302
Online shop such as amazon,online-shop-such-as-amazon,,303
Online marketplace such as ebay facebook,online-marketplace-such-as-ebay-facebook,,304
A mobile phone network provider such as o2 ee,a-mobile-phone-network-provider-such-as-o2-ee,,305
In person from a high street or retail park,in-person-from-a-high-street-or-retail-park,,306
Second hand or charity shop,second-hand-or-charity-shop,,307
Gift or passed on from family or friends,gift-or-passed-on-from-family-or-friends,,308
Trade in for another device,trade-in-for-another-device,,309
Return to the company or producer to be recycled,return-to-the-company-or-producer-to-be-recycled,,310
Recycle such as using a local e waste recycling centre,recycle-such-as-using-a-local-e-waste-recycling-centre,,311
Pass onto family or friend,pass-onto-family-or-friend,,312
Sell online such as ebay facebook music magpie,sell-online-such-as-ebay-facebook-music-magpie,,313
Sell at a secondhand shop,sell-at-a-secondhand-shop,,314
Give to a secondhand or charity shop,give-to-a-secondhand-or-charity-shop,,315
Keep as a spare,keep-as-a-spare,,316
Store it somewhere not as a spare,store-it-somewhere-not-as-a-spare,,317
Throw it away,throw-it-away,,318
16 to 19,16-to-19,,319
20 to 24,20-to-24,,320
25 to 29,25-to-29,,321
30 to 34,30-to-34,,322
35 to 39,35-to-39,,323
40 to 44,40-to-44,,324
45 to 49,45-to-49,,325
50 to 54,50-to-54,,326
55 to 59,55-to-59,,327
60 to 64,60-to-64,,328
65 to 69,65-to-69,,329
70 to 74,70-to-74,,330
75 to 79,75-to-79,,331
80 to 84,80-to-84,,332
85 or over,85-or-over,,333
Up to 2mbps,up-to-2mbps,,334
More than 2mbps up to 10mbps,more-than-2mbps-up-to-10mbps,,335
More than 10mbps up to 24mbps also known as adsl,more-than-10mbps-up-to-24mbps-also-known-as-adsl,,336
More than 24mbps up to 100mbps also known as superfast speeds,more-than-24mbps-up-to-100mbps-also-known-as-superfast-speeds,,337
More than 100mbps less than 1000mbps also known as full fibre connections,more-than-100mbps-less-than-1000mbps-also-known-as-full-fibre-connections,,338
1000mbps or above 1gbps,1000mbps-or-above-1gbps,,339
I do not have broadband at home,i-do-not-have-broadband-at-home,,340
Respond to legitimate requests for authentication for my online accounts or email,respond-to-legitimate-requests-for-authentication-for-my-online-accounts-or-email,,341
Use different passwords for my online accounts and email,use-different-passwords-for-my-online-accounts-and-email,,342
Monitor privacy settings on my social media and other accounts to improve security,monitor-privacy-settings-on-my-social-media-and-other-accounts-to-improve-security,,343
Identify secure websites by looking for the padlock and https in the address bar,identify-secure-websites-by-looking-for-the-padlock-and-https-in-the-address-bar,,344
Avoid suspicious links in email websites social media messages and pop ups,avoid-suspicious-links-in-email-websites-social-media-messages-and-pop-ups,,345
Use dual factor authentication to access my accounts or websites through a code sent to my smartphone or other device,use-dual-factor-authentication-to-access-my-accounts-or-websites-through-a-code-sent-to-my-smartphone-or-other-device,,346
Activate pop up blockers on my web browser,activate-pop-up-blockers-on-my-web-browser,,347
Save passwords in my browser,save-passwords-in-my-browser,,348
I do none of these things,i-do-none-of-these-things,,349
Back up my information or content frequently by storing a copy either in the cloud or on an external storage device,back-up-my-information-or-content-frequently-by-storing-a-copy-either-in-the-cloud-or-on-an-external-storage-device,,350
Create strong passwords that are not easily to guess or related to me for example using a mix of letters numbers and symbols,create-strong-passwords-that-are-not-easily-to-guess-or-related-to-me-for-example-using-a-mix-of-letters-numbers-and-symbols,,351
Set automatic updates for my computer operating system and security software,set-automatic-updates-for-my-computer-operating-system-and-security-software,,352
Allow computer systems and security software to be updated when prompted,allow-computer-systems-and-security-software-to-be-updated-when-prompted,,353
Changed the password of my wi fi router at least every 12 months,changed-the-password-of-my-wi-fi-router-at-least-every-12-months,,354
Consider the security standards of the internet provider when considering a new provider,consider-the-security-standards-of-the-internet-provider-when-considering-a-new-provider,,355
It doesn t feel very important,it-doesn-t-feel-very-important,,356
It may be important but i don t have enough information about what happens when security standards are not high enough,it-may-be-important-but-i-don-t-have-enough-information-about-what-happens-when-security-standards-are-not-high-enough,,357
It is important but i don t have enough information to choose between providers based on their security standards,it-is-important-but-i-don-t-have-enough-information-to-choose-between-providers-based-on-their-security-standards,,358
Viruses can damage my computer security,viruses-can-damage-my-computer-security,,359
Software should be used to prevent viruses,software-should-be-used-to-prevent-viruses,,360
My online activity produces a permanent record,my-online-activity-produces-a-permanent-record,,361
My online activity can be used by others both now and in the future,my-online-activity-can-be-used-by-others-both-now-and-in-the-future,,362
Others that i don t know can capture and use the data i post online,others-that-i-don-t-know-can-capture-and-use-the-data-i-post-online,,363
I can protect and secure my personal data through privacy settings,i-can-protect-and-secure-my-personal-data-through-privacy-settings,,364
Taken part in a online security training course,taken-part-in-a-online-security-training-course,,365
Upgraded the security of your own devices,upgraded-the-security-of-your-own-devices,,366
Upgraded the security of someone else s devices such as a friend or relative,upgraded-the-security-of-someone-else-s-devices-such-as-a-friend-or-relative,,367
Looked for information or advice on cyber careers such as security engineer security architect or security analyst,looked-for-information-or-advice-on-cyber-careers-such-as-security-engineer-security-architect-or-security-analyst,,368
Given information or advice about cyber careers to someone else,given-information-or-advice-about-cyber-careers-to-someone-else,,369
Very often,very-often,,370
Quite often,quite-often,,371
Not very often,not-very-often,,372
Never,never,,373
It is interesting,it-is-interesting,,374
It is well researched,it-is-well-researched,,375
It has been verified as true by a fact checking organisation,it-has-been-verified-as-true-by-a-fact-checking-organisation,,376
It reflects my personal views,it-reflects-my-personal-views,,377
It conflicts with my personal views,it-conflicts-with-my-personal-views,,378
I trust the person or organisation that originally published the content,i-trust-the-person-or-organisation-that-originally-published-the-content,,379
I trust the person or organisation that shared it with me,i-trust-the-person-or-organisation-that-shared-it-with-me,,380
It is funny or amusing,it-is-funny-or-amusing,,381
Always,always,,382
Sometimes,sometimes,,383
Hardly ever,hardly-ever,,384
Provided personal information such as my passport number online as identification,provided-personal-information-such-as-my-passport-number-online-as-identification,,385
Uploaded a document qualification identification document to a digital or online platform,uploaded-a-document-qualification-identification-document-to-a-digital-or-online-platform,,386
Showed documents to someone through a webcam for example zoom ms teams,showed-documents-to-someone-through-a-webcam-for-example-zoom-ms-teams,,387
Shared a photo of your documents such as a passport or qualification,shared-a-photo-of-your-documents-such-as-a-passport-or-qualification,,388
Verified my identity online in some other way,verified-my-identity-online-in-some-other-way,,389
I have always been able to prove my identify or something about myself,i-have-always-been-able-to-prove-my-identify-or-something-about-myself,,390
I have not been successful because the method is difficult to use,i-have-not-been-successful-because-the-method-is-difficult-to-use,,391
I have not been successful as i did not have the document in the required format,i-have-not-been-successful-as-i-did-not-have-the-document-in-the-required-format,,392
I haven t been successful because i chose not to prove my identity,i-haven-t-been-successful-because-i-chose-not-to-prove-my-identity,,393
I have not been able to access services for any other reason,i-have-not-been-able-to-access-services-for-any-other-reason,,394
Opening a bank account,opening-a-bank-account,,395
Buying age restricted products like alcohol,buying-age-restricted-products-like-alcohol,,396
Accessing benefits,accessing-benefits,,397
Travelling,travelling,,398
Starting a new job,starting-a-new-job,,399
Buying or renting a house,buying-or-renting-a-house,,400
Not working,not-working,,401
Working,working,,402
Asian/asian british bangladeshi,asian/asian-british-bangladeshi,,403
Asian/asian british chinese,asian/asian-british-chinese,,404
Asian/asian british indian,asian/asian-british-indian,,405
Asian/asian british pakistani,asian/asian-british-pakistani,,406
Asian/asian british any other asian background,asian/asian-british-any-other-asian-background,,407
Asian/asian british total,asian/asian-british-total,,408
Black/african/caribbean/black british african,black/african/caribbean/black-british-african,,409
Black/african/caribbean/black british caribbean,black/african/caribbean/black-british-caribbean,,410
Black/african/caribbean/black british any other black/african/caribbean background,black/african/caribbean/black-british-any-other-black/african/caribbean-background,,411
